Var1,Var2,Var3,Var4,Var5
535,3,9,-0.620379245871526,32.5
535,3,10,-0.600719331613571,10.6
535,3,11,-0.582019356474844,37.6
535,3,12,0.730833315034049,87
535,3,13,-0.585082732851835,14.2
535,3,14,2.33130662121044,95.6
535,3,15,-1.12389375193768,0
535,3,16,0.0546717280312128,79.6
535,3,17,-0.437667062656326,19.4
535,3,18,5.68317833834575,99.3
535,3,19,2.84211275076299,96.4
535,3,20,0.283901198035078,83.5
535,3,21,-0.443539021532134,23.6
535,3,22,0.538225051099511,87.1
535,3,23,0.186617276936076,79.9
535,3,24,2.95992780050331,98.3
535,3,25,0.376138238059475,84.7
535,3,26,NaN,NaN
535,3,27,-0.584370491364851,2.2
535,3,28,-0.660482946221714,1.7
535,3,29,-0.445495685621071,36.3
535,3,30,2.8675277697394,97.2
535,3,31,-0.85268557758271,0.7
535,3,32,-0.0476096429768754,75.2
535,3,33,-0.671546541357169,9.3
535,3,34,-0.356570810782176,62.1
535,3,35,0.604072409145271,85.9
535,3,36,0.273624967685893,84.5
535,3,37,-0.451271158032953,35.2
535,3,38,-0.363361452539503,39.5
535,3,39,-0.443635187412439,21.2
535,3,40,-0.667007551756051,2.2
535,3,41,-0.522871281979416,22.8
535,3,42,-0.262296397399532,52.7
535,3,43,-0.362040714991076,42.1
535,3,44,-0.646436058653694,6.4
535,3,45,-0.410196484533028,44.1
543,1,1,-0.397066549295959,10.2
543,1,2,-0.0849166177440517,31.4
543,1,3,-0.633335062816927,23.5
543,1,4,-0.0882913954165928,70.7
543,1,5,-0.0564509287796918,64.2
543,1,6,-7.40358426273189,0.1
